"filename", "language", "JavaScript", "SCSS", "XML", "JSON", "Python", "Markdown", "HTML", "Database", "comment", "blank", "total"
"/Users/coltonshaw/Desktop/botmanager/src/Components/Sidebar/SidebarOption.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/coltonshaw/Desktop/botmanager/src/Components/Sidebar/svg/backwardClock.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/coltonshaw/Desktop/botmanager/src/Components/Sidebar/svg/botmanager.svg", "XML", 0, 0, 37, 0, 0, 0, 0, 0, 0, 2, 39
"/Users/coltonshaw/Desktop/botmanager/src/Components/Sidebar/svg/coffee.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/coltonshaw/Desktop/botmanager/src/Components/Sidebar/svg/cog.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/coltonshaw/Desktop/botmanager/src/Components/Sidebar/svg/moon.svg", "XML", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/coltonshaw/Desktop/botmanager/src/Components/Sidebar/svg/pieChart.svg", "XML", 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"/Users/coltonshaw/Desktop/botmanager/src/Components/Sidebar/svg/sun.svg", "XML", 0, 0, 42, 0, 0, 0, 0, 0, 0, 2, 44
"/Users/coltonshaw/Desktop/botmanager/src/Components/Stats/Stats.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/coltonshaw/Desktop/botmanager/src/index.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"/Users/coltonshaw/Desktop/botmanager/src/index.scss", "SCSS", 0, 28, 0, 0, 0, 0, 0, 0, 0, 8, 36
"/Users/coltonshaw/Desktop/botmanager/src/server/database.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 95, 16, 144
"/Users/coltonshaw/Desktop/botmanager/src/server/localdatabase.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 8, 24, 103
"/Users/coltonshaw/Desktop/botmanager/src/server/threeC/api.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 0, 17, 33, 116
"/Users/coltonshaw/Desktop/botmanager/src/server/threeC/index.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 9, 5, 22
"/Users/coltonshaw/Desktop/botmanager/src/utils/config.js", "JavaScript", 108, 0, 0, 0, 0, 0, 0, 0, 6, 30, 144
"/Users/coltonshaw/Desktop/botmanager/webpack.common.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 3, 1, 50
"Total", "-", 45105, 143, 240, 17256, 77, 1, 21, 38437, 11872, 11751, 124903
